ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
1078	Bahnar-Kontum	bdq	sun/day		nar	n a r	n a r	N V R	N A R	6	2289
1079	Bahnar-Pleiku	bdq	sun/day		ʔnar	ʔ n a r	7 n a r	H N V R	H N A R	6	2289
1080	Bru-Talan	oog	sun/day		rembaˀaŋ	r e m b aˀa ŋ	r e m b a N	R V M P V N	R E M P A N	10	2272
1081	Bru-Ubon	bru	sun/day		mənaːŋ	m ə n aː ŋ	m I n a N	M V N V N	M E N A N	9	2292
1082	Khmer-Surin	kxm	sun/day		tʰŋaj	tʰ ŋ a j	t N a y	T N V J	T N A J	7	2290
1083	Khmer-Standard	khm	sun/day		tŋaj	t ŋ a j	t N a y	T N V J	T N A J	7	2290
1084	Mon	mnw	sun/day		ŋoa	ŋ oa	N o	N V	N U	7	2290
1085	Vietnamese	vie	sun/day		ngày	n g à y	n g a i	N K V V	N K A Y	7	2290
1086	Bahnar-Golar	bdq	sweet		ŋaːm	ŋ aː m	N a m	N V M	N A M	5	2308
1087	Bahnar-Kontum	bdq	sweet		ŋaːm	ŋ aː m	N a m	N V M	N A M	5	2308
1088	Bahnar-Pleiku	bdq	sweet		ʔŋaːm	ʔ ŋ aː m	7 N a m	H N V M	H N A M	5	2308
1089	Bru-Talan	oog	sweet		ŋaˀam	ŋ aˀa m	N a m	N V M	N A M	5	2308
1090	Bru-Ubon	bru	sweet		ŋeam	ŋ ea m	N e m	N V M	N E M	5	2308
1091	Khmer-Surin	kxm	sweet		pɁɛːm	p Ɂ ɛː m	p 7 E m	P H V M	P H E M	10	2293
1092	Khmer-Standard	khm	sweet		pʔaem	p ʔ ae m	p 7 a m	P H V M	P H A M	10	2293
1093	Mon	mnw	sweet		dat	d a t	d a t	T V T	T A T	20	2299
1094	Vietnamese	vie	sweet		ngọt	n g o t	n g o t	N K V T	N K U T	2	2298
1095	Bahnar-Golar	bdq	tail		kjɛŋ	k j ɛ ŋ	k y E N	K J V N	K J E N	3	2317
1096	Bahnar-Kontum	bdq	tail		kjɛŋ	k j ɛ ŋ	k y E N	K J V N	K J E N	3	2317
1097	Bahnar-Pleiku	bdq	tail		kjɛŋ	k j ɛ ŋ	k y E N	K J V N	K J E N	3	2317
1098	Bru-Talan	oog	tail		s̞ɔːj	s̞ ɔː j	s o y	S V J	S U J	4	2318
1099	Bru-Ubon	bru	tail		sɔːj	s ɔː j	s o y	S V J	S U J	4	2318
1100	Khmer-Surin	kxm	tail		kantuj	k a n t u j	k a n t u y	K V N T V J	K A N T Y J	6	2320
1101	Khmer-Standard	khm	tail		kɑntuj	k ɑ n t u j	k o n t u y	K V N T V J	K A N T Y J	6	2320
1102	Mon	mnw	tail		hataʔ	h a t a ʔ	h a t a 7	H V T V H	H A T A H	1	2313
1103	Vietnamese	vie	tail		đuôi	đ u ô i	8 u o i	T V V V	D Y U I	6	2320
1104	Bahnar-Golar	bdq	ten		ɟit	ɟ i t	C i t	K V T	C I T	1	2323
1105	Bahnar-Kontum	bdq	ten		ɟit	ɟ i t	C i t	K V T	C I T	1	2323
1106	Bahnar-Pleiku	bdq	ten		ɟit	ɟ i t	C i t	K V T	C I T	1	2323
1107	Bru-Talan	oog	ten		məncit	m ə n c i t	m I n T i t	M V N K V T	M E N C I T	1	2323
1108	Bru-Ubon	bru	ten		məcit	m ə c i t	m I T i t	M V K V T	M E C I T	1	2323
1109	Khmer-Surin	kxm	ten		dɑp	d ɑ p	d o p	T V P	T A P	4	2327
1110	Khmer-Standard	khm	ten		dɑp	d ɑ p	d o p	T V P	T A P	4	2327
1111	Mon	mnw	ten		cɔh	c ɔ h	T o h	K V H	C U H	6	2329
1112	Vietnamese	vie	ten		mười	m u o i	m u o i	M V V V	M Y U I	10	2324
1113	Bahnar-Golar	bdq	thick -object		həɓəl	h ə ɓ ə l	h I b I l	H V P V R	H E P E L	1	2331
1114	Bahnar-Kontum	bdq	thick -object		həɓəl	h ə ɓ ə l	h I b I l	H V P V R	H E P E L	1	2331
1115	Bahnar-Pleiku	bdq	thick -object		həɓəl	h ə ɓ ə l	h I b I l	H V P V R	H E P E L	1	2331
1116	Bru-Talan	oog	thick -object		kəbən	k ə b ə n	k I b I n	K V P V N	K E P E N	6	2344
1117	Bru-Ubon	bru	thick -object		kəben	k ə b e n	k I b e n	K V P V N	K E P E N	6	2344
1118	Khmer-Surin	kxm	thick -object		kraːh	k r aː h	k r a h	K R V H	K R A H	9	2347
1119	Khmer-Standard	khm	thick -object		krah	k r a h	k r a h	K R V H	K R A H	9	2347
1120	Mon	mnw	thick -object		tɑm	t ɑ m	t o m	T V M	T A M	12	2333
1121	Vietnamese	vie	thick -object		dày	d à y	d a i	T V V	T A Y	26	2341
1122	Bahnar-Golar	bdq	thin -object		hətaŋ	h ə t a ŋ	h I t a N	H V T V N	H E T A N	8	2364
1123	Bahnar-Kontum	bdq	thin -object		hətaŋ	h ə t a ŋ	h I t a N	H V T V N	H E T A N	8	2364
1124	Bahnar-Pleiku	bdq	thin -object		hətaŋ	h ə t a ŋ	h I t a N	H V T V N	H E T A N	8	2364
1125	Bru-Talan	oog	thin -object		kədaʔ	k ə d a ʔ	k I d a 7	K V T V H	K E T A H	13	2350
1126	Bru-Ubon	bru	thin -object		kədaː	k ə d aː	k I d a	K V T V	K E T A	13	2350
1127	Khmer-Standard	khm	thin -object		sdaəŋ	s d aə ŋ	s d a N	S T V N	S T A N	8	2364
1128	Mon	mnw	thin -object		krɑɛ	k r ɑɛ	k r o	K R V	K R A	20	2355
1129	Vietnamese	vie	thin -object		mỏng	m o n g	m o n g	M V N K	M U N K	42	2363
1130	Bahnar-Golar	bdq	thorn		ɟəlaː	ɟ ə l aː	C I l a	K V R V	C E L A	1	2365
1131	Bahnar-Kontum	bdq	thorn		ɟəlă	ɟ ə l ă	C I l a	K V R V	C E L A	1	2365
1132	Bahnar-Pleiku	bdq	thorn		ɟəlaː	ɟ ə l aː	C I l a	K V R V	C E L A	1	2365
1133	Bru-Talan	oog	thorn		hərliˀi	h ə r l iˀi	h I r l i	H V R R V	H E R L I	1	2365
1134	Bru-Ubon	bru	thorn		sərle̤a	s ə r l e̤a	s I r l e	S V R R V	S E R L E	1	2365
1135	Khmer-Surin	kxm	thorn		panlaː	p a n l aː	p a n l a	P V N R V	P A N L A	1	2365
1136	Khmer-Standard	khm	thorn		bɑnlaː	b ɑ n l aː	b o n l a	P V N R V	P A N L A	1	2365
1137	Mon	mnw	thorn		halèaʔ	h a l èa ʔ	h a l e 7	H V R V H	H A L E H	1	2365
1138	Vietnamese	vie	thorn		gai	g ai	g a	K V	K A	21	2373
1139	Bahnar-Golar	bdq	three		peːŋ	p eː ŋ	p e N	P V N	P E N	3	2381
1140	Bahnar-Kontum	bdq	three		peːŋ	p eː ŋ	p e N	P V N	P E N	3	2381
1141	Bahnar-Pleiku	bdq	three		peːŋ	p eː ŋ	p e N	P V N	P E N	3	2381
1142	Bru-Talan	oog	three		pɛˀɛ	p ɛˀɛ	p E	P V	P E	1	2380
1143	Bru-Ubon	bru	three		paj	p a j	p a y	P V J	P A J	1	2380
1144	Khmer-Surin	kxm	three		bɛj	b ɛ j	b E y	P V J	P E J	1	2380
1145	Khmer-Standard	khm	three		bəj	b ə j	b I y	P V J	P E J	1	2380
1146	Mon	mnw	three		pɑɛʔ	p ɑɛ ʔ	p o 7	P V H	P A H	1	2380
1147	Vietnamese	vie	three		ba	b a	b a	P V	P A	9	2385
1148	Bahnar-Golar	bdq	to be born		rənɛh	r ə n ɛ h	r I n E h	R V N V H	R E N E H	7	2400
1149	Bahnar-Kontum	bdq	to be born		rənɛh	r ə n ɛ h	r I n E h	R V N V H	R E N E H	7	2400
1150	Bahnar-Pleiku	bdq	to be born		rənɛh	r ə n ɛ h	r I n E h	R V N V H	R E N E H	7	2400
1151	Bru-Talan	oog	to be born		moŋʔ	m o ŋ ʔ	m o N 7	M V N H	M U N H	11	2387
1152	Bru-Ubon	bru	to be born		kəːt	k əː t	k I t	K V T	K E T	6	2399
1153	Khmer-Surin	kxm	to be born		knʌːt	k n ʌː t	k n o t	K N V T	K N E T	6	2399
1154	Khmer-Standard	khm	to be born		kaət	k aə t	k a t	K V T	K A T	6	2399
1155	Mon	mnw	to be born		bɑŋ	b ɑ ŋ	b o N	P V N	P A N	18	2393
1156	Vietnamese	vie	to be born		đẻ	đ e	8 e	T V	D E	24	2397
1157	Bahnar-Golar	bdq	to bite		kap	k a p	k a p	K V P	K A P	1	2403
1158	Bahnar-Kontum	bdq	to bite		kap	k a p	k a p	K V P	K A P	1	2403
1159	Bahnar-Pleiku	bdq	to bite		kap	k a p	k a p	K V P	K A P	1	2403
1160	Bru-Talan	oog	to bite		kamʔ	k a m ʔ	k a m 7	K V M H	K A M H	1	2403
1161	Bru-Ubon	bru	to bite		kap	k a p	k a p	K V P	K A P	1	2403
1162	Khmer-Surin	kxm	to bite		kʰam	kʰ a m	k a m	K V M	K A M	6	2416
1163	Khmer-Standard	khm	to bite		kʰam	kʰ a m	k a m	K V M	K A M	6	2416
1164	Mon	mnw	to bite		kit	k i t	k i t	K V T	K I T	5	2415
1165	Vietnamese	vie	to bite		cắn	c a n	T a n	K V N	C A N	25	2411
1166	Bahnar-Golar	bdq	to blow		hloːm	h l oː m	h l o m	H R V M	H L U M	6	2434
1167	Bahnar-Kontum	bdq	to blow		hloːm	h l oː m	h l o m	H R V M	H L U M	6	2434
1168	Bahnar-Pleiku	bdq	to blow		hloːm	h l oː m	h l o m	H R V M	H L U M	6	2434
1169	Bru-Talan	oog	to blow		hoːt	h oː t	h o t	H V T	H U T	8	2436
1170	Bru-Ubon	bru	to blow		ploŋ	p l o ŋ	p l o N	P R V N	P L U N	7	2435
1171	Khmer-Surin	kxm	to blow		pʰlom	pʰ l o m	p l o m	P R V M	P L U M	6	2434
1172	Khmer-Standard	khm	to blow		plom	p l o m	p l o m	P R V M	P L U M	6	2434
1173	Mon	mnw	to blow		həkə̤h	h ə k ə̤ h	h I k I h	H V K V H	H E K E H	27	2427
1174	Vietnamese	vie	to blow		thổi	t h o i	t h o i	T H V V	T H U I	34	2432
1175	Bahnar-Golar	bdq	to breathe/breath		ɟəhŋăm	ɟ ə h ŋ ă m	C I h N a m	K V H N V M	C E H N A M	2	2444
1176	Bahnar-Kontum	bdq	to breathe/breath		ɟəhŋăm	ɟ ə h ŋ ă m	C I h N a m	K V H N V M	C E H N A M	2	2444
1177	Bahnar-Pleiku	bdq	to breathe/breath		ɟəhŋăm	ɟ ə h ŋ ă m	C I h N a m	K V H N V M	C E H N A M	2	2444
1178	Bru-Talan	oog	to breathe/breath		təŋɨh	t ə ŋ ɨ h	t I N I h	T V N V H	T E N I H	5	2449
1179	Bru-Ubon	bru	to breathe/breath		taŋɯ̤h	t a ŋ ɯ̤ h	t a N u h	T V N V H	T A N I H	5	2449
1180	Khmer-Surin	kxm	to breathe/breath		thʌːm	t h ʌː m	t h o m	T H V M	T H E M	2	2444
1181	Khmer-Standard	khm	to breathe/breath		dɑŋhaəm	d ɑ ŋ h aə m	d o N h a m	T V N H V M	T A N H A M	2	2444
1182	Mon	mnw	to breathe/breath		pəjə̤m	p ə j ə̤ m	p I y I m	P V J V M	P E J E M	7	2451
1183	Vietnamese	vie	to breathe/breath		vụ	v u	v u	W V	B Y	22	2445
1184	Bahnar-Golar	bdq	to burn -tr.		ʔuɲ	ʔ u ɲ	7 u H	H V N	H Y N	7	2481
1185	Bahnar-Kontum	bdq	to burn -tr.		ʔuɲ	ʔ u ɲ	7 u H	H V N	H Y N	7	2481
1186	Bahnar-Pleiku	bdq	to burn -tr.		soːŋ	s oː ŋ	s o N	S V N	S U N	8	2482
1187	Bru-Talan	oog	to burn -tr.		cɔŋʔ	c ɔ ŋ ʔ	T o N 7	K V N H	C U N H	8	2482
1188	Bru-Ubon	bru	to burn -tr.		cɑŋ	c ɑ ŋ	T o N	K V N	C A N	8	2482
1189	Khmer-Surin	kxm	to burn -tr.		dʌt	d ʌ t	d o t	T V T	T E T	3	2467
1190	Khmer-Standard	khm	to burn -tr.		dot	d o t	d o t	T V T	T U T	3	2467
1191	Mon	mnw	to burn -tr.		tao	t ao	t a	T V	T A	27	2465
1192	Vietnamese	vie	to burn -tr.		đốt	đ o t	8 o t	T V T	D U T	44	2477
1193	Bahnar-Golar	bdq	to buy		rɔt	r ɔ t	r o t	R V T	R U T	1	2484
1194	Bahnar-Kontum	bdq	to buy		rɔt	r ɔ t	r o t	R V T	R U T	1	2484
1195	Bahnar-Pleiku	bdq	to buy		rɔt	r ɔ t	r o t	R V T	R U T	1	2484
1196	Bru-Talan	oog	to buy		cɔːŋ	c ɔː ŋ	T o N	K V N	C U N	5	2501
1197	Bru-Ubon	bru	to buy		cəːŋ	c əː ŋ	T I N	K V N	C E N	5	2501
1198	Khmer-Surin	kxm	to buy		tiɲ	t i ɲ	t i H	T V N	T I N	11	2486
1199	Khmer-Standard	khm	to buy		ciev	c ie v	T i v	K V W	C I B	12	2487
1200	Mon	mnw	to buy		ràn	r à n	r a n	R V N	R A N	20	2493
1201	Bahnar-Golar	bdq	to climb/ascend		haːw	h aː w	h a w	H V W	H A W	8	2531
1202	Bahnar-Kontum	bdq	to climb/ascend		haːw	h aː w	h a w	H V W	H A W	8	2531
1203	Bahnar-Pleiku	bdq	to climb/ascend		haːw	h aː w	h a w	H V W	H A W	8	2531
1204	Bru-Talan	oog	to climb/ascend		cʰɔˀɔh	cʰ ɔˀɔ h	T o h	K V H	C U H	9	2532
1205	Bru-Ubon	bru	to climb/ascend		sɔh	s ɔ h	s o h	S V H	S U H	9	2532
1206	Khmer-Surin	kxm	to climb/ascend		lʌːŋ	l ʌː ŋ	l o N	R V N	L E N	18	2513
1207	Khmer-Standard	khm	to climb/ascend		laəŋ	l aə ŋ	l a N	R V N	L A N	18	2513
1208	Mon	mnw	to climb/ascend		tɒn	t ɒ n	t o n	T V N	T O N	25	2518
1209	Vietnamese	vie	to climb/ascend		lên	l ê n	l e n	R V N	L E N	42	2527
1210	Bahnar-Golar	bdq	to cook/boil		paːj	p aː j	p a y	P V J	P A J	5	2562
1211	Bahnar-Kontum	bdq	to cook/boil		paːj	p aː j	p a y	P V J	P A J	5	2562
1212	Bahnar-Pleiku	bdq	to cook/boil		paːj	p aː j	p a y	P V J	P A J	5	2562
1213	Bru-Talan	oog	to cook/boil		cin	c i n	T i n	K V N	C I N	16	2537
1214	Bru-Ubon	bru	to cook/boil		ʔɔŋ	ʔ ɔ ŋ	7 o N	H V N	H U N	17	2538
1215	Khmer-Surin	kxm	to cook/boil		tnam	t n a m	t n a m	T N V M	T N A M	18	2539
1216	Khmer-Standard	khm	to cook/boil		dam	d a m	d a m	T V M	T A M	18	2539
1217	Mon	mnw	to cook/boil		tom	t o m	t o m	T V M	T U M	18	2539
1218	Vietnamese	vie	to cook/boil		nâu	n â u	n a u	N V V	N A Y	51	2564
1219	Bahnar-Golar	bdq	to cough		hjɛn	h j ɛ n	h y E n	H J V N	H J E N	5	2578
1220	Bahnar-Kontum	bdq	to cough		hjɛn	h j ɛ n	h y E n	H J V N	H J E N	5	2578
1221	Bahnar-Pleiku	bdq	to cough		hjɛn	h j ɛ n	h y E n	H J V N	H J E N	5	2578
1222	Bru-Talan	oog	to cough		həŋɔʔ	h ə ŋ ɔ ʔ	h I N o 7	H V N V H	H E N U H	9	2581
1223	Bru-Ubon	bru	to cough		ŋhɔʔ	ŋ h ɔ ʔ	N h o 7	N H V H	N H U H	9	2581
1224	Khmer-Surin	kxm	to cough		kɁɑːɁ	k Ɂ ɑː Ɂ	k 7 o 7	K H V H	K H A H	4	2577
1225	Khmer-Standard	khm	to cough		kɁɑːɁ	k Ɂ ɑː Ɂ	k 7 o 7	K H V H	K H A H	4	2577
1226	Mon	mnw	to cough		hadaʔ	h a d a ʔ	h a d a 7	H V T V H	H A T A H	14	2572
1227	Vietnamese	vie	to cough		ho	h o	h o	H V	H U	21	2576
1228	Bahnar-Golar	bdq	to cry/weep		ɲəm	ɲ ə m	H I m	N V M	N E M	2	2587
1229	Bahnar-Kontum	bdq	to cry/weep		ɲəm	ɲ ə m	H I m	N V M	N E M	2	2587
1230	Bahnar-Pleiku	bdq	to cry/weep		hmɔːj	h m ɔː j	h m o y	H M V J	H M U J	3	2588
1231	Bru-Talan	oog	to cry/weep		ɲaˀam	ɲ aˀa m	H a m	N V M	N A M	2	2587
1232	Bru-Ubon	bru	to cry/weep		ɲiam	ɲ ia m	H i m	N V M	N I M	2	2587
1233	Khmer-Surin	kxm	to cry/weep		jʊm	j ʊ m	y u m	J V M	J Y M	1	2582
1234	Khmer-Standard	khm	to cry/weep		jum	j u m	y u m	J V M	J Y M	1	2582
1235	Mon	mnw	to cry/weep		kərə̀ʔ	k ə r ə̀ ʔ	k I r I 7	K V R V H	K E R E H	4	2589
1236	Vietnamese	vie	to cry/weep		khóc	k h ó c	k h o T	K H V K	K H U C	19	2586
1237	Bahnar-Golar	bdq	to descend		ɟuːr	ɟ uː r	C u r	K V R	C Y R	8	2610
1238	Bahnar-Kontum	bdq	to descend		ɟuːr	ɟ uː r	C u r	K V R	C Y R	8	2610
1239	Bahnar-Pleiku	bdq	to descend		ɟuːr	ɟ uː r	C u r	K V R	C Y R	8	2610
1240	Bru-Talan	oog	to descend		cʰɛˀɛŋ	cʰ ɛˀɛ ŋ	T E N	K V N	C E N	10	2592
1241	Bru-Ubon	bru	to descend		sɛːŋ	s ɛː ŋ	s E N	S V N	S E N	10	2592
1242	Khmer-Standard	khm	to descend		coh	c o h	T o h	K V H	C U H	14	2596
1243	Mon	mnw	to descend		cih	c i h	T i h	K V H	C I H	17	2599
1244	Vietnamese	vie	to descend		xuống	x u o n g	x u o n g	K V V N K	G Y U N K	29	2607
1245	Bru-Talan	oog	to die		kəceːt	k ə c eː t	k I T e t	K V K V T	K E C E T	4	2620
1246	Bru-Ubon	bru	to die		kəciːt	k ə c iː t	k I T i t	K V K V T	K E C I T	4	2620
1247	Khmer-Surin	kxm	to die		slap	s l a p	s l a p	S R V P	S L A P	11	2614
1248	Khmer-Standard	khm	to die		slap	s l a p	s l a p	S R V P	S L A P	11	2614
1249	Mon	mnw	to die		cʰɒt	cʰ ɒ t	T o t	K V T	C O T	4	2620
1250	Vietnamese	vie	to die		chết	c h e t	T h e t	K H V T	C H E T	4	2620
1251	Bahnar-Golar	bdq	to dig		siːr	s iː r	s i r	S V R	S I R	6	2644
1252	Bahnar-Kontum	bdq	to dig		siːr	s iː r	s i r	S V R	S I R	6	2644
1253	Bahnar-Pleiku	bdq	to dig		siːr	s iː r	s i r	S V R	S I R	6	2644
1254	Bru-Talan	oog	to dig		pic	p i c	p i T	P V K	P I C	12	2627
1255	Bru-Ubon	bru	to dig		piʔ	p i ʔ	p i 7	P V H	P I H	12	2627
1256	Khmer-Surin	kxm	to dig		ʨiːɁ	ʨ iː Ɂ	C i 7	K V H	C I H	8	2646
1257	Khmer-Standard	khm	to dig		ciːɁ	c iː Ɂ	T i 7	K V H	C I H	8	2646
1258	Mon	mnw	to dig		bɑk	b ɑ k	b o k	P V K	P A K	18	2631
1259	Vietnamese	vie	to dig		đào	đ à o	8 a o	T V V	D A U	35	2641
1260	Bahnar-Golar	bdq	to dream		həpɔː	h ə p ɔː	h I p o	H V P V	H E P U	4	2651
1261	Bahnar-Kontum	bdq	to dream		ʔapɔː	ʔ a p ɔː	7 a p o	H V P V	H A P U	4	2651
1262	Bahnar-Pleiku	bdq	to dream		ʔapɔː	ʔ a p ɔː	7 a p o	H V P V	H A P U	4	2651
1263	Bru-Talan	oog	to dream		mpɔˀɔ	m p ɔˀɔ	m p o	M P V	M P U	4	2651
1264	Bru-Ubon	bru	to dream		mpaw	m p a w	m p a w	M P V W	M P A W	4	2651
1265	Khmer-Standard	khm	to dream		soːŋ	s oː ŋ	s o N	S V N	S U N	8	2655
1266	Mon	mnw	to dream		kəpɔʔ	k ə p ɔ ʔ	k I p o 7	K V P V H	K E P U H	4	2651
1267	Vietnamese	vie	to dream		bao	b ao	b a	P V	P A	4	2651
1268	Bahnar-Golar	bdq	to drink -water		ʔɛːt	ʔ ɛː t	7 E t	H V T	H E T	8	2679
1269	Bahnar-Kontum	bdq	to drink -water		ʔɛːt	ʔ ɛː t	7 E t	H V T	H E T	8	2679
1270	Bahnar-Pleiku	bdq	to drink -water		ɲaʔ	ɲ a ʔ	H a 7	N V H	N A H	9	2680
1271	Bru-Talan	oog	to drink -water		ŋɔːjʔ	ŋ ɔː j ʔ	N o y 7	N V J H	N U J H	15	2661
1272	Bru-Ubon	bru	to drink -water		ŋuac	ŋ ua c	N u T	N V K	N Y C	15	2661
1273	Khmer-Surin	kxm	to drink -water		pʰʌʔ	pʰ ʌ ʔ	p o 7	P V H	P E H	18	2663
1274	Khmer-Standard	khm	to drink -water		pʰək	pʰ ə k	p I k	P V K	P E K	18	2663
1275	Mon	mnw	to drink -water		səŋ	s ə ŋ	s I N	S V N	S E N	24	2668
1276	Vietnamese	vie	to drink -water		uống	u o n g	u o n g	V V N K	Y U N K	29	2672
1277	Bahnar-Golar	bdq	to eat		saː	s aː	s a	S V	S A	1	2681
1278	Bahnar-Kontum	bdq	to eat		saː	s aː	s a	S V	S A	1	2681
1279	Bahnar-Pleiku	bdq	to eat		saː	s aː	s a	S V	S A	1	2681
1280	Bru-Talan	oog	to eat		caˀa	c aˀa	T a	K V	C A	1	2681
1281	Bru-Ubon	bru	to eat		caː	c aː	T a	K V	C A	1	2681
1282	Khmer-Surin	kxm	to eat		siː	s iː	s i	S V	S I	1	2681
1283	Khmer-Standard	khm	to eat		siː	s iː	s i	S V	S I	1	2681
1284	Mon	mnw	to eat		cɛʔ	c ɛ ʔ	T E 7	K V H	C E H	1	2681
1285	Vietnamese	vie	to eat		ăn	ă n	a n	V N	A N	25	2690
1286	Bahnar-Golar	bdq	to extinguish/put out		tək	t ə k	t I k	T V K	T E K	4	2709
1287	Bahnar-Kontum	bdq	to extinguish/put out		pəpăt	p ə p ă t	p I p a t	P V P V T	P E P A T	1	2696
1288	Bahnar-Pleiku	bdq	to extinguish/put out		pat	p a t	p a t	P V T	P A T	1	2696
1289	Bru-Talan	oog	to extinguish/put out		həmpat	h ə m p a t	h I m p a t	H V M P V T	H E M P A T	1	2696
1290	Bru-Ubon	bru	to extinguish/put out		ʔaːpat	ʔ aː p a t	7 a p a t	H V P V T	H A P A T	1	2696
1291	Khmer-Surin	kxm	to extinguish/put out		luat	l ua t	l u t	R V T	L Y T	10	2697
1292	Khmer-Standard	khm	to extinguish/put out		lʊət	l ʊə t	l u t	R V T	L Y T	10	2697
1293	Mon	mnw	to extinguish/put out		plɒt	p l ɒ t	p l o t	P R V T	P L O T	2	2704
1294	Vietnamese	vie	to extinguish/put out		tắt	t a t	t a t	T V T	T A T	25	2708
1295	Bahnar-Golar	bdq	to fall		klih	k l i h	k l i h	K R V H	K L I H	10	2715
1296	Bahnar-Kontum	bdq	to fall		klih	k l i h	k l i h	K R V H	K L I H	10	2715
1297	Bahnar-Pleiku	bdq	to fall		klih	k l i h	k l i h	K R V H	K L I H	10	2715
1298	Bru-Talan	oog	to fall		hətoˀoh	h ə t oˀo h	h I t o h	H V T V H	H E T U H	16	2721
1299	Bru-Ubon	bru	to fall		səlɛh	s ə l ɛ h	s I l E h	S V R V H	S E L E H	17	2722
1300	Khmer-Surin	kxm	to fall		tʰliaj	tʰ l ia j	t l i y	T R V J	T L I J	28	2731
1301	Khmer-Standard	khm	to fall		cruh	c r u h	T r u h	K R V H	C R Y H	15	2720
1302	Mon	mnw	to fall		prɔh	p r ɔ h	p r o h	P R V H	P R U H	40	2741
1303	Vietnamese	vie	to fall		rũ	r ũ	r u	R V	R Y	15	2720
1304	Bahnar-Golar	bdq	to flee/run -away		ɟak	ɟ a k	C a k	K V K	C A K	6	2785
1305	Bahnar-Kontum	bdq	to flee/run -away		ɟak	ɟ a k	C a k	K V K	C A K	6	2785
1306	Bahnar-Pleiku	bdq	to flee/run -away		ɟak	ɟ a k	C a k	K V K	C A K	6	2785
1307	Bru-Talan	oog	to flee/run -away		luh	l u h	l u h	R V H	L Y H	14	2758
1308	Bru-Ubon	bru	to flee/run -away		təlṳh	t ə l ṳ h	t I l i h	T V R V H	T E L Y H	14	2758
1309	Khmer-Surin	kxm	to flee/run -away		pɯat	p ɯa t	p u t	P V T	P I T	25	2769
1310	Khmer-Standard	khm	to flee/run -away		rʊət	r ʊə t	r u t	R V T	R Y T	26	2770
1311	Mon	mnw	to flee/run -away		tɛ̀a	t ɛ̀a	t E	T V	T E	22	2766
1312	Vietnamese	vie	to flee/run -away		chạy	c h a y	T h a i	K H V V	C H A Y	60	2786
1313	Bahnar-Golar	bdq	to fly		par	p a r	p a r	P V R	P A R	1	2790
1314	Bahnar-Kontum	bdq	to fly		par	p a r	p a r	P V R	P A R	1	2790
1315	Bahnar-Pleiku	bdq	to fly		par	p a r	p a r	P V R	P A R	1	2790
1316	Bru-Talan	oog	to fly		par	p a r	p a r	P V R	P A R	1	2790
1317	Bru-Ubon	bru	to fly		par	p a r	p a r	P V R	P A R	1	2790
1318	Khmer-Surin	kxm	to fly		hʌːr	h ʌː r	h o r	H V R	H E R	7	2799
1319	Khmer-Standard	khm	to fly		haə	h aə	h a	H V	H A	7	2799
1320	Mon	mnw	to fly		pɔ	p ɔ	p o	P V	P U	1	2790
1321	Vietnamese	vie	to fly		bay	b ay	b a	P V	P A	1	2790
1322	Bahnar-Golar	bdq	to forget		hjəːt	h j əː t	h y I t	H J V T	H J E T	5	2825
1323	Bahnar-Kontum	bdq	to forget		hjəːt	h j əː t	h y I t	H J V T	H J E T	5	2825
1324	Bahnar-Pleiku	bdq	to forget		hjəːt	h j əː t	h y I t	H J V T	H J E T	5	2825
1325	Bru-Talan	oog	to forget		ləjhəjɨː	ləj həjɨː	l h	R H	L H	10	2802
1326	Bru-Ubon	bru	to forget		sareːl	s a r eː l	s a r e l	S V R V R	S A R E L	11	2803
1327	Khmer-Surin	kxm	to forget		ŋwɪːɲ	ŋ w ɪː ɲ	N w i H	N W V N	N W I N	4	2824
1328	Khmer-Standard	khm	to forget		plɨc	p l ɨ c	p l I T	P R V K	P L I C	17	2809
1329	Mon	mnw	to forget		wɜ̀t	w ɜ̀ t	w I t	W V T	W E T	24	2815
1330	Vietnamese	vie	to forget		quên	q u ê n	q u e n	K V V N	K Y E N	4	2824
1331	Bahnar-Golar	bdq	to give		ʔan	ʔ a n	7 a n	H V N	H A N	7	2845
1332	Bahnar-Kontum	bdq	to give		ʔan	ʔ a n	7 a n	H V N	H A N	7	2845
1333	Bahnar-Pleiku	bdq	to give		ʔan	ʔ a n	7 a n	H V N	H A N	7	2845
1334	Bru-Talan	oog	to give		joˀon	j oˀo n	y o n	J V N	J U N	5	2843
1335	Bru-Ubon	bru	to give		ʔoːn	ʔ oː n	7 o n	H V N	H U N	7	2845
1336	Khmer-Surin	kxm	to give		ʔɔːj	ʔ ɔː j	7 o y	H V J	H U J	10	2829
1337	Khmer-Standard	khm	to give		ʔaoj	ʔ ao j	7 a y	H V J	H A J	10	2829
1338	Mon	mnw	to give		kɑ	k ɑ	k o	K V	K A	15	2833
1339	Vietnamese	vie	to give		cho	c h o	T h o	K H V	C H U	33	2841
1340	Bahnar-Golar	bdq	to hear		kətəŋ	k ə t ə ŋ	k I t I N	K V T V N	K E T E N	5	2870
1341	Bahnar-Kontum	bdq	to hear		kətəŋ	k ə t ə ŋ	k I t I N	K V T V N	K E T E N	5	2870
1342	Bahnar-Pleiku	bdq	to hear		kətəŋ	k ə t ə ŋ	k I t I N	K V T V N	K E T E N	5	2870
